Detector,Time,qPKW
21801V72158_1,10850,1
27372V72852_1,10850,1
10236V72161_2,10860,1
27372V72852_1,10860,1
04211V1677432_2,10870,1
16219V72812_1,10900,1
10236V72161_4,10940,1
81077V72158_3,10950,1
16219V72812_2,11020,1
04300V72813_3,11030,1
88356V72157_1,11030,1
04300V72813_1,11050,1
10236V72161_2,11050,1
10236V72161_1,11060,1
04300V72813_3,11090,1
16219V72812_1,11120,1
21801V72158_2,11150,1
16219V72812_2,11160,1
04300V72813_3,11170,1
16219V72812_2,11200,1
10236V72161_2,11210,1
16219V72812_2,11220,1
27372V72852_2,11270,1
04300V72813_1,11280,1
16219V72812_2,11290,1
04300V72813_3,11300,1
10236V72161_2,11320,1
16219V72812_1,11330,1
27372V72852_1,11340,1
10236V72161_3,11380,1
10236V72161_3,11390,1
04300V72813_3,11450,1
04300V72813_1,11500,1
10236V72161_4,11500,1
16219V72812_1,11540,1
81077V72158_2,11540,1
04211V1677432_1,11560,1
21801V72158_1,11560,1
21801V72158_1,11570,1
81077V72158_3,11580,1
16219V72812_1,11650,1
16219V72812_1,11660,1
04300V72813_1,11720,1
16219V72812_1,11830,1
10236V72161_1,11870,1
10236V72161_3,11910,1
04300V72813_3,11920,1
88356V72157_4,11920,1
27372V72852_1,11940,1
16219V72812_2,11960,1
27372V72852_2,11980,1
04300V72813_1,12000,1
81077V72158_1,12020,1
81077V72158_2,12020,1
16219V72812_1,12030,1
04300V72813_3,12040,1
81077V72158_3,12140,1
04300V72813_1,12170,1
10236V72161_2,12190,1
88356V72157_6,12220,1
88356V72157_6,12230,1
88356V72157_6,12240,1
88356V72157_6,12250,1
81077V72158_2,12270,1
04211V1677432_1,12280,1
21801V72158_1,12290,1
16219V72812_1,12340,1
16219V72812_1,12350,1
16219V72812_1,12360,1
10236V72161_3,12390,1
04300V72813_1,12400,1
27372V72852_1,12410,1
04300V72813_3,12450,1
21801V72158_2,12480,1
16219V72812_1,12490,1
16219V72812_2,12500,1
16219V72812_2,12510,1
27372V72852_2,12540,1
10236V72161_2,12580,1
04300V72813_3,12590,1
04300V72813_1,12630,1
